id,TIME_SERVER,TIME_GPS,LATITUDE,N_S,LONGITUDE,E_W,LAT_DEC,LON_DEC,HUMIDITY,BAROMETER,AIR_TEMPERATURE,WIND_SPEED_REL,WIND_SPEED_TRUE,WIND_DIR_REL,WIND_DIR_TRUE,PAR,TSG_COND,TSG_SALINITY,TSG_TEMP,TSG_TEMP_HULL,HEADING,DOPPLER_GROUND_LON,LON_GROUND_VALID,DOPPLER_GROUND_TRV,DOPPLER_WATER_LON,LON_WATER_VALID,DOPPLER_WATER_TRV,GPS_COG_TRUE,GPS_COG_MAGNETIC,GPS_SOG_KNOTS,GPS_SOG_KMH,NAV_SOUNDER_DEPTH,NAV_SOUNDER_OFFSET
1,18-07-19 18:38,18:38:37,33 54.025,S,018 26.277,E,-33.90042,18.43795,90,1.011,15.6,21.9,14.8,343.6,323.4,16.26,,,,,352.7,8.5,A,0,8.5,A,0,258.6,23.8,8.6,15.9,,
2,18-07-19 18:39,18:39:02,33 53.964,S,018 26.273,E,-33.8994,18.43788,90,1.011,15.7,23.2,14.5,347.7,325.4,16.26,,,,,347.3,9.2,A,0,9.2,A,0,350.1,15.3,9.2,17,,
3,18-07-19 18:40,18:40:03,33 53.809,S,018 26.238,E,-33.89682,18.4373,90,1.011,15.7,23,13.8,349.6,329,16.26,,,,,346.9,9.6,A,0,9.6,A,0,347.6,12.8,9.6,17.8,,
4,18-07-19 18:41,18:41:02,33 53.654,S,018 26.198,E,-33.89423,18.43663,90,1.011,15.7,24,14.4,348.6,327.1,16.26,,,,,347,9.9,A,0,9.9,A,0,347.5,12.7,9.9,18.3,,
5,18-07-19 18:42,18:42:02,33 53.492,S,018 26.155,E,-33.89153,18.43592,90,1.011,15.7,22.3,12.6,343.8,316.1,16.26,,,,,346.6,10,A,0,10,A,0,347.3,12.6,10,18.6,,
6,18-07-19 18:43,18:43:02,33 53.329,S,018 26.111,E,-33.88882,18.43518,90,1.0111,15.7,22.2,13.3,343.7,319.2,16.25,,,,,348,10,A,0,10,A,0,347.9,13.1,10,18.5,,
7,18-07-19 18:44,18:44:02,33 53.165,S,018 26.070,E,-33.88608,18.4345,90,1.011,15.7,23,13.6,344.9,324,16.25,,,,,349.6,9.9,A,0,9.9,A,0,350.5,15.7,9.9,18.4,,
8,18-07-19 18:45,18:45:02,33 53.003,S,018 26.038,E,-33.88338,18.43397,89.9,1.011,15.7,21.6,12.2,344.8,324.2,16.25,,,,,350.2,9.8,A,0,9.8,A,0,350.8,16.1,9.8,18.2,,
9,18-07-19 18:46,18:46:02,33 52.841,S,018 26.007,E,-33.88068,18.43345,89.2,1.011,15.8,22.3,13.6,345.3,323.7,16.25,,,,,349.8,9.7,A,0,9.7,A,0,351.3,16.5,9.7,18,,
10,18-07-19 18:47,18:47:02,33 52.680,S,018 25.978,E,-33.878,18.43297,89.4,1.0111,15.8,22.8,13.4,345,324.1,16.25,,,,,349.9,9.8,A,0,9.8,A,0,351.5,16.7,9.8,18.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
